,name,longitude,latitude,state,city,tsne_X,tsne_Y,trendy hotel,outdoors,upscale,live entertainment & dancing,hookah & karoke,brunch place,cigar lounge,russian,arcade & video games,price,whiskey presence,vodka presence,beer presence,wine presence,tequila presence,rum presence,shot presence,gin presence,brandy presence,soju presence,cider presence,sake presence
0,Original Hamburger Works,-112.0911877,33.4798071,AZ,Phoenix,13.52928,3.7907405,-0.12731658255456377,0.9747701553660572,-0.2038529634096985,-0.2877679016488073,-0.11201938503914317,-0.7337766691487386,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,-2.049495809906267,-0.20671724601060332,-0.32709286908919666,-0.35197620539696917,-0.3642620754532181,-0.17196027072227987,-0.11983960241328194,-0.18761290349341878,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,-0.1738812674486457
1,Chicken Lips,-89.206641,43.149488,WI,Sun Prairie,13.774019,2.892254,-0.12731658255456377,0.8902555245580701,-0.2038529634096985,-0.2877679016488073,-0.11201938503914317,-0.7337766691487386,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,-2.049495809906267,-0.20671724601060332,-0.031001858384797437,-0.2705341268585089,-0.39007792389480456,-0.17196027072227987,-0.11983960241328194,0.14806068736775949,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,-0.1738812674486457
2,Indian Street Food Company,-79.375814,43.708002,ON,Toronto,-2.9067237,5.737974,-0.12731658255456377,-1.0575636900571894,-0.2038529634096985,-0.2877679016488073,-0.11201938503914317,1.261414049085205,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,-0.03371377836084443,-0.20671724601060332,0.2650891523196018,-0.6324505293476025,-0.24986243333952127,-0.17196027072227987,-0.11983960241328194,-0.5113831755297326,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,-0.1738812674486457
3,Fat Ox,-111.925905,33.5303579,AZ,Scottsdale,1.8386633,12.625106,-0.12731658255456377,-2.265210375954327,-0.2038529634096985,-0.2877679016488073,-0.11201938503914317,2.3369874695851145,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,1.982068253184578,-0.20671724601060332,-0.0689622443725409,-0.6596715920989188,0.8781532118327898,0.33543504721312684,-0.11983960241328194,-0.12811665692264312,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,0.013048808517196878
4,Sammy's Beach Bar & Grill,-81.8386494597,41.4124053237,OH,Cleveland,-11.10755,-5.064264,-0.12731658255456377,0.836613764624237,-0.2038529634096985,-0.2877679016488073,-0.11201938503914317,-0.7337766691487386,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,-0.03371377836084443,-0.01887883665032867,-0.32709286908919666,-0.2921221227964549,-0.3587139325863859,0.24463799031942243,-0.11983960241328194,-0.11803069590666715,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,-0.1738812674486457
5,The Nest,-112.264272827,33.5113776682,AZ,Glendale,12.7701845,2.8445954,-0.12731658255456377,0.9406758313528572,-0.2038529634096985,-0.2877679016488073,-0.11201938503914317,-0.7337766691487386,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,-2.049495809906267,0.1562247652956901,-0.32709286908919666,0.36210392359417765,-0.39007792389480456,-0.17196027072227987,0.598463458561255,-0.5113831755297326,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,-0.1738812674486457
6,Applebee's Grill + Bar,-112.260044,33.552166,AZ,Glendale,-10.994671,-5.834282,-0.12731658255456377,0.9284960786526287,-0.2038529634096985,-0.2877679016488073,-0.11201938503914317,-0.7337766691487386,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,-0.03371377836084443,-0.20671724601060332,-0.32709286908919666,-0.4974377437381959,-0.39007792389480456,0.0806578237391779,-0.11983960241328194,-0.272860927247661,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,-0.1738812674486457
7,Whiskey Rose Bar & Grill,-112.26184575,33.533366039,AZ,Glendale,1.1830851,-1.0856836,-0.12731658255456377,0.728002088919421,-0.2038529634096985,0.5650053640194954,-0.11201938503914317,-0.7337766691487386,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,-0.03371377836084443,6.292345540104424,-0.20957814888745066,-0.09657015959202639,-0.3066033322412701,0.012834288650304029,-0.11983960241328194,0.0993080282430422,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,-0.1738812674486457
8,Chili's,-115.171496,36.052802,NV,Las Vegas,-8.698727,-7.6641965,-0.12731658255456377,0.9555121893073668,-0.2038529634096985,-0.2877679016488073,-0.11201938503914317,-0.7337766691487386,-0.10390530757896724,-0.13681929499429643,-0.20477544119796098,-0.03371377836084443,-0.20671724601060332,-0.32709286908919666,-0.573704678508793,-0.37453229342019706,-0.17196027072227987,-0.027709427201330464,-0.31641716389047403,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,-0.1738812674486457
9,Triumph Property Management,-115.2614861,36.1819495,NV,Las Vegas,14.064214,-1.6141945,-0.12731658255456377,0.200701909492346,2.4133713596029023,-0.2877679016488073,-0.11201938503914317,-0.7337766691487386,-0.10390530757896724,-0.13681929499429643,2.6185886758070467,-4.06527784145169,-0.20671724601060332,-0.32709286908919666,-0.6807060496794816,-0.39007792389480456,-0.17196027072227987,-0.11983960241328194,-0.5113831755297326,-0.1812649367821484,-0.1777358974749815,-0.05393848935338279,-0.10814069539144959,0.48887082006661425
